description,category,amount
Meesho App Purchase,Shopping,323.41
certification exam fee,Education,3333.82
BMTC Bengaluru,Transport,74.54
health checkup fee,Healthcare,884.98
ATM cash withdrawal,Transfers & ATM,11655.71
d2h recharge,Utilities & Bills,2102.7
visa fee,Travel,7127.26
Lifestyle Stores,Shopping,526.84
IndiGo Airlines,Travel,5937.49
BluSmart EV Cab,Transport,772.17
doctor consultation fee,Healthcare,1480.09
ACT Fibernet Bill,Utilities & Bills,264.49
electronics purchase,Shopping,3020.96
canteen payment,Food & Dining,199.18
ZMT*ORD61856,Food & Dining,1070.85
landlord rent transfer,Transfers & ATM,10760.28
money sent UPI,Transfers & ATM,1753.88
cash withdrawal ATM,Transfers & ATM,13117.9
BIGBSKT*60425,Groceries,1017.21
diagnostic center fee,Healthcare,331.94
supermarket bill,Groceries,2485.59
NETFLIX*80453,Entertainment,820.8
OYO Rooms Booking*15737,Travel,10104.72
Apollo Pharmacy Order,Healthcare,1438.35
College Fee Payment*57948,Education,3321.63
ACT Fibernet Bill,Utilities & Bills,2413.15
Hathway Internet,Utilities & Bills,1400.45
Ajio Fashion,Shopping,2309.55
Ola Electric Scooter,Transport,295.04
Cult.fit Membership,Healthcare,2372.29
vegetables fruits purchase,Groceries,1403.51
movie ticket booking,Entertainment,979.12
mobile accessories,Shopping,2458.29
Coursera India Course,Education,7434.95
JEE preparation course,Education,7352.6
Nykaa Beauty Order,Shopping,4293.42
SpiceJet Booking,Travel,2512.9
mobile recharge online,Utilities & Bills,1088.19
split bill payment,Transfers & ATM,1765.98
Google Pay Send Money,Transfers & ATM,965.37
Treebo Hotels,Travel,11622.38
grocery shopping online,Groceries,1443.33
paytm transfer,Transfers & ATM,8832.28
EatFit Health,Food & Dining,427.67
Google Pay Send Money,Transfers & ATM,14242.94
ACT Fibernet Bill,Utilities & Bills,748.32
family transfer,Transfers & ATM,11215.02
GOIBO*49326,Travel,3386.2
BWSSB Water Bill,Utilities & Bills,995.31
Boat Audio Products,Shopping,632.51
AkasaAir Booking,Travel,2293.9
medicine purchase,Healthcare,1825.61
holiday package,Travel,3443.29
UPI/PhonePe/47852,Transfers & ATM,13944.73
ott platform payment,Entertainment,607.5
language learning app,Education,3213.97
Puma Online India,Shopping,3745.23
Flipkart Internet Pvt,Shopping,2122.19
Spencer's Retail,Groceries,623.51
PlayStation Store,Entertainment,587.97
TripAdvisor Hotel,Travel,9440.31
Vodafone Idea Vi,Utilities & Bills,1874.72
PharmEasy Order,Healthcare,1892.27
Reliance Fresh,Groceries,1822.11
DTH recharge Tata Sky,Utilities & Bills,614.73
APOLLO*78564,Healthcare,2111.49
Great Learning Program,Education,3438.18
holiday package,Travel,2646.21
SBI ATM Withdrawal,Transfers & ATM,14649.67
Fassos Wrap,Food & Dining,725.36
Treebo Hotels,Travel,11553.96
SpiceJet Booking,Travel,7461.93
Blinkit Grocery*90997,Groceries,823.95
Haldirams Sweets,Food & Dining,1065.2
EatFit Health,Food & Dining,552.82
flipkart order delivery,Shopping,3899.97
Vodafone Idea Vi,Utilities & Bills,1776.52
Amazon Prime Video,Entertainment,748.26
Xbox Game Pass,Entertainment,442.04
landlord rent transfer,Transfers & ATM,12707.66
UNACAD*11403,Education,1852.35
clothes shopping,Shopping,2633.43
H&M India Online,Shopping,4973.72
broadband bill pay,Utilities & Bills,740.89
upGrad Course Fee,Education,3738.23
split bill payment,Transfers & ATM,3755.54
Milkbasket Order,Groceries,1718.38
Zara India,Shopping,2951.89
Lifestyle Stores,Shopping,500.54
SBI ATM Withdrawal,Transfers & ATM,1520.98
lunch delivery,Food & Dining,680.56
Vistara Flight,Travel,4583.75
Rapido Bike Taxi,Transport,615.61
vegetables fruits purchase,Groceries,2426.17
Jio Recharge RJIL*22208,Utilities & Bills,1853.97
ott platform payment,Entertainment,771.96
McDonald's India,Food & Dining,926.48
restaurant bill payment,Food & Dining,90.83
Apollo Hospitals,Healthcare,1168.95
Netmeds Medicine Order,Healthcare,1243.12
language learning app,Education,4246.86
BIGBSKT*79632,Groceries,870.46
RedBus Ticket Booking,Transport,777.64
Gaana Music Pro,Entertainment,125.66
JioMart Kiryana Store,Groceries,462.58
UNACAD*23432,Education,5043.65
khaana order,Food & Dining,431.32
Uber India Trip,Transport,270.03
skill development course,Education,3783.95
dental clinic payment,Healthcare,1001.55
Amazon Prime Video,Entertainment,296.22
AIRTEL*50043,Utilities & Bills,1842.1
hotel booking online,Travel,7111.43
fresh produce market,Groceries,1294.14
Zara India,Shopping,842.02
AkasaAir Booking,Travel,4222.33
friend money sent,Transfers & ATM,14058.11
food delivery online,Food & Dining,83.63
Meesho App Purchase,Shopping,1367.16
ACT Fibernet Bill,Utilities & Bills,1507.04
landlord rent transfer,Transfers & ATM,13119.03
Spencer's Retail,Groceries,949.5
BEST Bus Mumbai,Transport,567.96
Rapido Bike Taxi,Transport,731.31
Great Learning Program,Education,1927.89
Netmeds Medicine Order,Healthcare,1709.75
AIRTEL*21042,Utilities & Bills,694.85
Pizza Hut Delivery,Food & Dining,258.3
Swiggy Instamart,Groceries,1183.38
Mumbai Metro MMR,Transport,515.67
McDonald's India,Food & Dining,799.88
petrol pump payment,Transport,137.09
mess fee online,Food & Dining,910.98
electricity bill payment,Utilities & Bills,2455.37
Swiggy Instamart,Groceries,548.93
GPay/Send/41278,Transfers & ATM,8324.69
ZOMATO*ORDER30926,Food & Dining,861.92
Domino's Pizza Order,Food & Dining,188.56
UNACAD*59992,Education,3341.77
gym membership fee,Healthcare,2101.83
Excitel Broadband,Utilities & Bills,854.12
book purchase Amazon,Education,5027.61
ATM cash withdrawal,Transfers & ATM,2861.28
Tata Power Mumbai Bill,Utilities & Bills,728.91
Uber India Trip,Transport,190.69
dental clinic payment,Healthcare,176.52
flipkart order delivery,Shopping,2731.33
Practo Consult Fee,Healthcare,1539.61
MPL Gaming,Entertainment,530.17
RTGS Transfer,Transfers & ATM,7405.86
d2h recharge,Utilities & Bills,1730.61
BWSSB Water Bill,Utilities & Bills,1158.53
Tata Power Mumbai Bill,Utilities & Bills,1961.29
Yatra.com Ticket,Travel,8441.25
Mahanagar Gas Bill,Utilities & Bills,1386.87
BluSmart EV Cab,Transport,429.16
MSEDCL Electricity,Utilities & Bills,2438.33
Indian Oil Fuel,Transport,251.3
mess fee online,Food & Dining,898.17
BYJU*88675,Education,3651.84
Country Delight Milk,Groceries,1974.09
Amazon Prime Video,Entertainment,105.15
bank transfer online,Transfers & ATM,2506.88
InDrive Cab,Transport,302.3
educational material,Education,4693.48
holiday package,Travel,5502.24
Domino's Pizza Order,Food & Dining,505.74
Zepto Quick Grocery,Groceries,2298.18
Starbucks India,Food & Dining,1008.93
bank transfer online,Transfers & ATM,12203.0
NEFT*94058,Transfers & ATM,3329.67
Netflix India Subscription,Entertainment,495.93
Yatra.com Ticket,Travel,10502.54
IRCTC E-TICKET*28595,Transport,605.73
paytm transfer,Transfers & ATM,3319.53
Croma Electronics,Shopping,3928.59
Uber India Trip,Transport,507.22
BPCL Petrol,Transport,325.67
Columbia Asia,Healthcare,2261.69
petrol pump payment,Transport,310.97
Swiggy Food Delivery,Food & Dining,981.65
Haldirams Sweets,Food & Dining,676.63
BSNL Landline,Utilities & Bills,455.13
Dream11 contest,Entertainment,594.09
ATM cash withdrawal,Transfers & ATM,5860.25
train ticket booking,Transport,422.55
ZMT*ORD68991,Food & Dining,370.29
NEFT*31075,Transfers & ATM,10821.28
cash withdrawal ATM,Transfers & ATM,11361.82
APOLLO*72650,Healthcare,151.95
UPI transfer friend,Transfers & ATM,13113.35
Dish TV Recharge,Utilities & Bills,684.63
InDrive Cab,Transport,660.17
movie ticket booking,Entertainment,218.69
Vodafone Idea Vi,Utilities & Bills,1969.31
AMZN*PAY*89807,Shopping,2732.83
OLA*RIDE*49251,Transport,727.57
grocery shopping online,Groceries,355.97
Reliance Fresh,Groceries,1218.91
UNACAD*27481,Education,1363.12
Netmeds Medicine Order,Healthcare,394.27
split bill payment,Transfers & ATM,11252.15
organic grocery store,Groceries,1886.5
gas cylinder booking,Utilities & Bills,930.76
travel booking,Travel,6660.0
fantasy sports entry,Entertainment,200.38
ATM cash withdrawal,Transfers & ATM,3337.88
GOIBO*25239,Travel,3464.93
grocery shopping online,Groceries,1977.41
gaming purchase Steam,Entertainment,364.84
Adidas India Store,Shopping,1965.86
Rapido Bike Taxi,Transport,606.29
BSNL Landline,Utilities & Bills,572.18
eye clinic glasses,Healthcare,1237.76
SBI ATM Withdrawal,Transfers & ATM,3627.58
split bill payment,Transfers & ATM,7550.29
Yatra.com Ticket,Travel,3518.2
IMPS*10178,Transfers & ATM,12975.55
SPOTIFY*90147,Entertainment,927.47
Air India Ticket,Travel,10117.85
health checkup fee,Healthcare,2695.69
mess fee online,Food & Dining,110.91
Rapido Bike Taxi,Transport,224.14
Duolingo Premium,Education,2228.57
SBI ATM Withdrawal,Transfers & ATM,14030.72
Ajio Fashion,Shopping,4185.67
SpiceJet Booking,Travel,2652.25
BPCL Petrol,Transport,780.91
hotel booking online,Travel,2683.5
Ajio Fashion,Shopping,3040.27
NEET coaching fee,Education,4629.12
DTH recharge Tata Sky,Utilities & Bills,1300.62
visa fee,Travel,5366.52
clothes shopping,Shopping,4391.62
Milkbasket Order,Groceries,2062.63
Disney+ Hotstar Premium,Entertainment,653.11
exam registration fee,Education,5045.45
Vedantu Live Classes,Education,5818.98
IndiGo Airlines,Travel,6953.43
UPI transfer friend,Transfers & ATM,3969.18
Amazon Prime Video,Entertainment,127.41
GoFirst Air,Travel,10438.77
Tikona Internet,Utilities & Bills,2220.1
KFC India Order,Food & Dining,1107.57
IMPS*83241,Transfers & ATM,10720.67
BMTC Bengaluru,Transport,303.92
OLA*RIDE*62098,Transport,537.38
Fortis Healthcare,Healthcare,1176.61
gas cylinder booking,Utilities & Bills,792.1
SBI ATM Withdrawal,Transfers & ATM,7329.36
Air India Ticket,Travel,10536.54
PVR Cinemas*92050,Entertainment,709.88
fuel station HPCL,Transport,535.66
INOX Movies,Entertainment,964.87
broadband bill pay,Utilities & Bills,941.31
Mahanagar Gas Bill,Utilities & Bills,1017.91
FabHotels,Travel,9956.88
Tikona Internet,Utilities & Bills,1586.2
Goibibo Flight Booking,Travel,8944.45
YouTube Premium Monthly,Entertainment,247.08
IRCTC E-TICKET*26540,Transport,256.26
weekly grocery,Groceries,1607.77
MMYT*83272,Travel,3889.22
IMPS*90273,Transfers & ATM,5953.9
Milkbasket Order,Groceries,2251.91
IMPS Transfer*82676,Transfers & ATM,1070.3
skill development course,Education,7609.14
skill development course,Education,7065.39
Apollo Hospitals,Healthcare,671.18
health checkup fee,Healthcare,570.23
Box8 Meals,Food & Dining,1181.92
organic grocery store,Groceries,318.01
Tata Power Mumbai Bill,Utilities & Bills,694.1
phonepe send,Transfers & ATM,7554.3
PVR Cinemas*47941,Entertainment,888.07
Vijay Sales,Shopping,286.52
Swiggy Instamart,Groceries,1571.63
Adidas India Store,Shopping,2570.8
Snapdeal Purchase,Shopping,4982.55
RedBus Ticket Booking,Transport,693.3
doctor consultation fee,Healthcare,1316.45
BYJU'S App Payment,Education,6336.83
Apollo Hospitals,Healthcare,1209.29
online course payment,Education,2336.07
INOX Movies,Entertainment,844.16
GPay/Send/89058,Transfers & ATM,9273.63
Apollo Hospitals,Healthcare,538.89
Airbnb India Stay,Travel,1070.77
SWGY*62386,Food & Dining,841.06
petrol pump payment,Transport,688.21
RTGS Transfer,Transfers & ATM,6308.91
RTGS Transfer,Transfers & ATM,2874.96
Vogo Scooter,Transport,790.74
DMART*98538,Groceries,316.05
Treebo Hotels,Travel,9422.9
Max Hospital,Healthcare,747.6
OLA*CAB*65057,Transport,666.75
Amazon Prime Video,Entertainment,740.8
Flipkart Internet Pvt,Shopping,2361.96
IMPS*90154,Transfers & ATM,13630.88
Unacademy Learn Subscription,Education,7317.2
BEST Bus Mumbai,Transport,392.59
DMART*92662,Groceries,1905.88
resort booking,Travel,6996.5
train ticket booking,Transport,273.92
certification exam fee,Education,6727.4
dinner online order,Food & Dining,123.37
INOX Movies,Entertainment,744.23
BPCL Petrol,Transport,218.61
IRCTC E-TICKET*52219,Transport,506.22
Box8 Meals,Food & Dining,1182.34
Indian Oil Fuel,Transport,507.75
Google Pay Send Money,Transfers & ATM,10436.03
mess fee online,Food & Dining,925.88
online course payment,Education,1379.99
movie ticket booking,Entertainment,527.4
IRCTC E-TICKET*62521,Transport,418.81
MPL Gaming,Entertainment,402.4
MPL Gaming,Entertainment,661.53
boAt Lifestyle,Shopping,1877.36
gas cylinder booking,Utilities & Bills,2007.43
certification exam fee,Education,5208.68
utility bill,Utilities & Bills,1002.44
APOLLO*30836,Healthcare,337.01
Jio Recharge RJIL*57329,Utilities & Bills,2341.35
MMYT*57600,Travel,9100.8
ott platform payment,Entertainment,344.55
bank transfer online,Transfers & ATM,9664.31
Amazon Prime Video,Entertainment,725.06
eye clinic glasses,Healthcare,1390.87
Tata CLiQ,Shopping,3579.09
Box8 Meals,Food & Dining,919.41
travel booking,Travel,2282.79
Gaana Music Pro,Entertainment,371.87
flipkart order delivery,Shopping,647.67
UNACAD*85108,Education,3749.81
entertainment subscription,Entertainment,368.78
hotel booking online,Travel,11666.96
ZOMATO*ORDER78146,Food & Dining,1116.64
SonyLIV Premium,Entertainment,938.72
Apollo Hospitals,Healthcare,2774.96
1MG*62082,Healthcare,1723.35
Medplus Pharmacy,Healthcare,2374.47
holiday package,Travel,6774.7
JioSaavn Pro,Entertainment,376.58
bank transfer online,Transfers & ATM,9077.92
eye clinic glasses,Healthcare,739.18
Max Hospital,Healthcare,2552.11
McDonald's India,Food & Dining,655.85
Yatra.com Ticket,Travel,7824.27
Tikona Internet,Utilities & Bills,1832.51
DMart Ready Grocery,Groceries,1702.54
Milkbasket Order,Groceries,1238.91
JIO*RCHG*92938,Utilities & Bills,1127.03
INOX Movies,Entertainment,432.63
Xbox Game Pass,Entertainment,825.22
TripAdvisor Hotel,Travel,4203.28
BYJU*95638,Education,435.84
ZEE5 Premium,Entertainment,208.69
Excitel Broadband,Utilities & Bills,1714.82
Air India Ticket,Travel,2377.6
mobile recharge online,Utilities & Bills,1418.89
ATM cash withdrawal,Transfers & ATM,3788.34
health checkup fee,Healthcare,724.17
Gaana Music Pro,Entertainment,330.59
JioMart Kiryana Store,Groceries,873.52
FLPKRT*15399,Shopping,4160.96
petrol pump payment,Transport,266.16
friend money sent,Transfers & ATM,9829.41
Reliance Fresh,Groceries,2191.06
organic grocery store,Groceries,429.09
medicine purchase,Healthcare,2852.85
online course payment,Education,4629.52
ATM cash withdrawal,Transfers & ATM,8084.76
canteen payment,Food & Dining,595.54
Nike India,Shopping,2135.02
landlord rent transfer,Transfers & ATM,12528.62
Vijay Sales,Shopping,4338.13
YouTube Premium Monthly,Entertainment,107.23
entertainment subscription,Entertainment,109.67
Snapdeal Purchase,Shopping,4548.34
BIGBSKT*33091,Groceries,908.48
resort booking,Travel,11901.82
book purchase Amazon,Education,3445.99
train ticket booking,Transport,404.73
IRCTC E-TICKET*93283,Transport,667.89
Air India Ticket,Travel,8982.62
Reliance Digital,Shopping,989.52
travel insurance,Travel,7344.02
kirana store upi,Groceries,953.04
Rapido Bike Taxi,Transport,357.48
Ludo King Premium,Entertainment,204.67
Adidas India Store,Shopping,3746.56
Unacademy Learn Subscription,Education,5402.29
NEFT Transfer HDFC*43847,Transfers & ATM,14356.28
McDonald's India,Food & Dining,576.31
BWSSB Water Bill,Utilities & Bills,385.78
Jio Recharge RJIL*46822,Utilities & Bills,239.68
Lifestyle Stores,Shopping,408.77
KFC India Order,Food & Dining,88.05
kirana store upi,Groceries,360.1
UPI/PhonePe/60387,Transfers & ATM,14335.25
GoFirst Air,Travel,8791.54
sabzi mandi payment,Groceries,1590.21
ott platform payment,Entertainment,689.37
YouTube Premium Monthly,Entertainment,747.28
Vistara Flight,Travel,7365.54
More Supermarket,Groceries,1462.24
GOIBO*80735,Travel,3111.98
BYJU*43263,Education,7911.5
AkasaAir Booking,Travel,8256.66
Croma Electronics,Shopping,4686.68
BluSmart EV Cab,Transport,737.05
holiday inn payment,Travel,594.35
GOIBO*85303,Travel,10490.84
Indian Oil Fuel,Transport,326.77
SBI ATM Withdrawal,Transfers & ATM,1034.73
JioMart Kiryana Store,Groceries,1093.88
Library Fine Payment,Education,5924.54
Croma Electronics,Shopping,3723.89
Ludo King Premium,Entertainment,228.92
Netmeds Medicine Order,Healthcare,2091.35
parking fee,Transport,390.12
PlayStation Store,Entertainment,782.63
split bill payment,Transfers & ATM,6281.8
concert ticket,Entertainment,802.78
health checkup fee,Healthcare,1885.79
Yatra.com Ticket,Travel,7345.16
resort booking,Travel,4721.8
eye clinic glasses,Healthcare,1931.51
Amazon Pay India*64381,Shopping,454.69
petrol pump payment,Transport,734.62
Country Delight Milk,Groceries,1580.23
language learning app,Education,803.2
Country Delight Milk,Groceries,957.35
Ludo King Premium,Entertainment,170.13
FabHotels,Travel,10070.04
Netflix India Subscription,Entertainment,361.66
Mahanagar Gas Bill,Utilities & Bills,390.61
electricity bill payment,Utilities & Bills,1892.19
Duolingo Premium,Education,5993.83
gaming purchase Steam,Entertainment,654.0
H&M India Online,Shopping,2599.87
GOIBO*33969,Travel,11820.54
tuition fee payment,Education,6734.46
Cult.fit Membership,Healthcare,2900.77
Columbia Asia,Healthcare,576.48
Box8 Meals,Food & Dining,431.59
Dish TV Recharge,Utilities & Bills,1953.89
TNEB Power Bill,Utilities & Bills,1212.89
NETFLIX*27589,Entertainment,864.95
educational material,Education,4050.85
Vedantu Live Classes,Education,341.12
SWGY*44760,Food & Dining,228.35
mobile recharge online,Utilities & Bills,350.02
Burger King India,Food & Dining,652.51
BigBasket BB Order*83404,Groceries,2087.73
medicine purchase,Healthcare,788.36
Flipkart Internet Pvt,Shopping,805.03
Jio Recharge RJIL*51795,Utilities & Bills,1532.68
OYO Rooms Booking*82036,Travel,3771.68
TNEB Power Bill,Utilities & Bills,238.03
SonyLIV Premium,Entertainment,948.8
Mahanagar Gas Bill,Utilities & Bills,114.31
HealthifyMe Premium,Healthcare,1345.84
Max Hospital,Healthcare,1631.11
Amazon Prime Video,Entertainment,350.11
Air India Ticket,Travel,11412.82
BEST Bus Mumbai,Transport,403.61
Ola Electric Scooter,Transport,500.31
lunch delivery,Food & Dining,940.51
Air India Ticket,Travel,3803.83
MPL Gaming,Entertainment,514.46
GoFirst Air,Travel,11554.25
swiggy se khana,Food & Dining,824.72
Spotify Premium India,Entertainment,920.91
Coursera India Course,Education,6336.27
gas cylinder booking,Utilities & Bills,1492.82
ott platform payment,Entertainment,637.01
ZOMATO*ORDER16057,Food & Dining,354.22
movie ticket booking,Entertainment,525.17
Boat Audio Products,Shopping,1399.27
IndiGo Airlines,Travel,11546.75
OYO Rooms Booking*59947,Travel,7557.13
gym membership fee,Healthcare,2863.74
BESCOM Electricity Bill,Utilities & Bills,2065.34
zomato order khaana,Food & Dining,524.25
gas cylinder booking,Utilities & Bills,547.89
Myntra Fashion,Shopping,1049.48
sabzi mandi payment,Groceries,352.29
BEST Bus Mumbai,Transport,582.34
WinZO Games,Entertainment,700.39
medicine purchase,Healthcare,2716.3
Hathway Internet,Utilities & Bills,2214.25
Flipkart Internet Pvt,Shopping,3988.08
IMPS Transfer*79945,Transfers & ATM,4872.62
MSEDCL Electricity,Utilities & Bills,1178.43
exam registration fee,Education,7681.63
Google Pay Send Money,Transfers & ATM,10650.8
Yatra.com Ticket,Travel,1878.6
book purchase Amazon,Education,713.33
Columbia Asia,Healthcare,2901.18
Duolingo Premium,Education,5741.99
language learning app,Education,887.84
Country Delight Milk,Groceries,403.43
Max Hospital,Healthcare,2393.01
electricity bill payment,Utilities & Bills,1731.64
Apple Music India,Entertainment,808.16
Mumbai Metro MMR,Transport,659.79
Fassos Wrap,Food & Dining,956.55
online course payment,Education,933.14
BIGBSKT*64257,Groceries,2333.92
Boat Audio Products,Shopping,465.04
Country Delight Milk,Groceries,2205.31
DTH recharge Tata Sky,Utilities & Bills,801.62
Zara India,Shopping,577.93
UNACAD*39563,Education,7318.36
Delhi Metro DMRC,Transport,132.44
MakeMyTrip Hotel*93627,Travel,6318.51
BluSmart EV Cab,Transport,110.33
InDrive Cab,Transport,256.91
JioMart Kiryana Store,Groceries,700.51
mobile recharge online,Utilities & Bills,792.49
Practo Consult Fee,Healthcare,2734.61
upGrad Course Fee,Education,3211.61
NEFT*81098,Transfers & ATM,8840.83
JEE preparation course,Education,3404.64
Tikona Internet,Utilities & Bills,220.58
Vogo Scooter,Transport,526.69
SPOTIFY*51777,Entertainment,725.68
BluSmart EV Cab,Transport,762.92
Medplus Pharmacy,Healthcare,1126.79
MPL Gaming,Entertainment,975.89
yoga class,Healthcare,2212.19
hospital bill payment,Healthcare,2535.67
exam registration fee,Education,3077.5
dinner online order,Food & Dining,202.81
SBI ATM Withdrawal,Transfers & ATM,8306.98
dental clinic payment,Healthcare,879.0
Airbnb India Stay,Travel,1469.58
More Supermarket,Groceries,228.08
Udemy Course Purchase,Education,1950.54
MakeMyTrip Hotel*98356,Travel,2923.65
visa fee,Travel,3591.45
IMPS Transfer*12048,Transfers & ATM,13254.59
book purchase Amazon,Education,3851.2
Tata Power Mumbai Bill,Utilities & Bills,720.23
UBER*TRIP*16428,Transport,732.96
Zara India,Shopping,1510.47
BYJU'S App Payment,Education,716.92
IRCTC E-TICKET*30585,Transport,229.9
Ludo King Premium,Entertainment,285.55
InDrive Cab,Transport,369.71
Haldirams Sweets,Food & Dining,280.09
JEE preparation course,Education,1418.16
TNEB Power Bill,Utilities & Bills,832.22
Amazon Prime Video,Entertainment,853.81
Myntra Fashion,Shopping,3505.03
UBER*TRIP*37801,Transport,531.28
Manipal Hospital,Healthcare,1458.14
d2h recharge,Utilities & Bills,2127.48
Mumbai Metro MMR,Transport,799.53
language learning app,Education,366.8
Goibibo Flight Booking,Travel,4588.45
cash withdrawal ATM,Transfers & ATM,10509.04
Apollo Pharmacy Order,Healthcare,1251.71
Nike India,Shopping,2945.83
Dish TV Recharge,Utilities & Bills,882.33
medicine purchase,Healthcare,988.05
CESC Kolkata,Utilities & Bills,299.72
Paytm Wallet Load,Transfers & ATM,1752.6
RTGS Transfer,Transfers & ATM,7664.46
OYO Rooms Booking*17329,Travel,11101.52
skill development course,Education,3365.0
parking fee,Transport,476.91
Meru Cabs,Transport,82.74
Dream11 contest,Entertainment,823.15
Vogo Scooter,Transport,554.62
vegetables fruits purchase,Groceries,608.06
BluSmart EV Cab,Transport,105.12
bank transfer online,Transfers & ATM,8039.31
Netmeds Medicine Order,Healthcare,1608.02
phonepe send,Transfers & ATM,5813.28
BIGBSKT*62171,Groceries,2234.11
Airtel Prepaid Recharge,Utilities & Bills,529.61
Mumbai Metro MMR,Transport,372.55
Rapido Bike Taxi,Transport,790.65
JIO*RCHG*42215,Utilities & Bills,1653.12
lab test booking,Healthcare,2224.32
Apple Music India,Entertainment,176.12
BPCL Petrol,Transport,355.99
phonepe send,Transfers & ATM,2645.19
milk subscription daily,Groceries,1776.63
MSEDCL Electricity,Utilities & Bills,2032.86
upGrad Course Fee,Education,5036.58
Duolingo Premium,Education,536.34
yoga class,Healthcare,2924.32
clothes shopping,Shopping,224.21
SPOTIFY*38972,Entertainment,471.2
YouTube Premium Monthly,Entertainment,788.24
Columbia Asia,Healthcare,1555.28
train ticket booking,Transport,117.78
JEE preparation course,Education,7789.56
Faasos Online,Food & Dining,593.91
resort booking,Travel,2778.25
Snapdeal Purchase,Shopping,4207.66
book purchase Amazon,Education,6642.22
YouTube Premium Monthly,Entertainment,838.5
Decathlon Sports,Shopping,2266.57
Dish TV Recharge,Utilities & Bills,721.45
RTGS Transfer,Transfers & ATM,7053.69
holiday inn payment,Travel,9366.45
Coursera India Course,Education,6855.54
Fortis Healthcare,Healthcare,2853.12
resort booking,Travel,11516.92
PharmEasy Order,Healthcare,2237.2
IndiGo Airlines,Travel,4187.4
BESCOM Electricity Bill,Utilities & Bills,1485.21
Vistara Flight,Travel,621.39
ATM cash withdrawal,Transfers & ATM,4154.74
Duolingo Premium,Education,3359.79
skill development course,Education,7518.64
PVR Cinemas*99825,Entertainment,441.66
exam registration fee,Education,4040.62
holiday package,Travel,1658.6
Xbox Game Pass,Entertainment,966.73
ACT Fibernet Bill,Utilities & Bills,943.04
Reliance Fresh,Groceries,1425.31
bank transfer online,Transfers & ATM,11921.53
Fassos Wrap,Food & Dining,1139.59
Hathway Internet,Utilities & Bills,1018.53
JioSaavn Pro,Entertainment,560.53
rent payment UPI,Transfers & ATM,4308.06
electronics purchase,Shopping,1034.81
organic grocery store,Groceries,2009.92
holiday package,Travel,8389.14
BESCOM Electricity Bill,Utilities & Bills,1153.21
BYJU'S App Payment,Education,6396.52
Spotify Premium India,Entertainment,570.55
EatFit Health,Food & Dining,495.04
gym membership fee,Healthcare,2985.05
Uber India Trip,Transport,595.43
organic grocery store,Groceries,680.82
friend money sent,Transfers & ATM,2659.83
Meru Cabs,Transport,122.42
travel booking,Travel,9876.87
Milkbasket Order,Groceries,1060.11
Fortis Healthcare,Healthcare,2100.58
entertainment subscription,Entertainment,510.12
vegetables fruits purchase,Groceries,2086.28
IMPS*84195,Transfers & ATM,12146.4
flight ticket purchase,Travel,3832.5
Nature's Basket Order,Groceries,1266.23
gym membership fee,Healthcare,2220.27
BookMyShow Ticket*10680,Entertainment,947.66
mobile accessories,Shopping,2054.89
DMART*69511,Groceries,1379.13
Biryani By Kilo,Food & Dining,687.26
mobile accessories,Shopping,4829.13
mess fee online,Food & Dining,471.96
educational material,Education,6617.31
Flipkart Internet Pvt,Shopping,235.91
supermarket bill,Groceries,1850.92
Duolingo Premium,Education,2963.6
Practo Consult Fee,Healthcare,2497.95
JIO*RCHG*17212,Utilities & Bills,841.61
FabHotels,Travel,6701.81
Excitel Broadband,Utilities & Bills,1804.05
RedBus Ticket Booking,Transport,761.76
petrol pump payment,Transport,135.57
ACT Fibernet Bill,Utilities & Bills,1315.37
Hathway Internet,Utilities & Bills,1354.74
NEFT*69636,Transfers & ATM,3081.88
DMart Ready Grocery,Groceries,1598.24
certification exam fee,Education,4919.22
parking fee,Transport,51.92
IMPS*27109,Transfers & ATM,708.3
Fassos Wrap,Food & Dining,853.49
Unacademy Learn Subscription,Education,4561.69
IRCTC Tatkal Ticket,Travel,6249.07
Croma Electronics,Shopping,3458.39
NETFLIX*45532,Entertainment,140.91
medicine purchase,Healthcare,1022.43
split bill payment,Transfers & ATM,10317.42
restaurant bill payment,Food & Dining,975.85
Blinkit Grocery*23994,Groceries,502.56
Vedantu Live Classes,Education,1914.0
Yulu Bike Rental,Transport,370.07
ott platform payment,Entertainment,826.82
ott platform payment,Entertainment,861.42
BigBasket BB Order*33020,Groceries,646.24
1MG*36137,Healthcare,2232.38
certification exam fee,Education,741.52
Manipal Hospital,Healthcare,1039.46
FOOD*DELIV*84364,Food & Dining,1140.58
GOIBO*72530,Travel,3945.52
Ajio Fashion,Shopping,2594.91
Adidas India Store,Shopping,865.75
boAt Lifestyle,Shopping,2663.61
lab test booking,Healthcare,277.16
holiday package,Travel,9071.12
exam registration fee,Education,4895.58
language learning app,Education,339.74
GOIBO*81884,Travel,1118.99
Dunzo Quick Commerce,Food & Dining,339.01
educational material,Education,2950.89
mobile recharge online,Utilities & Bills,743.76
Vogo Scooter,Transport,552.86
GPay/Send/43729,Transfers & ATM,2848.51
Reliance Digital,Shopping,2339.84
Airtel Prepaid Recharge,Utilities & Bills,2092.72
BYJU*76628,Education,6314.11
Apple Music India,Entertainment,835.54
fantasy sports entry,Entertainment,722.98
OYO Rooms Booking*75951,Travel,3883.9
More Supermarket,Groceries,957.18
ShopClues Order,Shopping,4853.99
